Months/Years, Production of Coal (in Million Tonnes), Production of Crude Oil (in Thousand  Tonnes), Production of Natural Gas (in Million cubic meters),  Production of Petroleum Refinery Products $ (in Thousand Tonnes),  Production of Fertilizers (in Thoousand Tonnes),  Production of Steel (in Thousand Tonnes),  Production of Cement (in Thousand Tonnes), Electricity Generation (in Million KWH)
Apr-04,28.2,2814.0,2596.0,9694.3,2306.7,3283.0,11140.0,48930.0
 May-04,27.6,2886.0,2650.0,10233.7,2705.5,3487.0,10950.0,47981.0
Jun-04,27.6,2783.0,2514.0,10002.2,2754.6,3427.0,10300.0,46570.0
Jul-04,28.6,2864.0,2658.0,9745.5,2910.1,3585.0,10768.0,50283.0
Aug-04,26.2,2874.0,2662.0,9796.6,2913.3,3561.0,9355.0,48325.0
Sep-04,28.2,2777.0,2617.0,9316.7,2818.7,3579.0,10340.0,49059.0
Oct-04,31.1,2881.0,2677.0,9958.4,3157.4,3625.0,11253.0,48484.0
Nov-04,32.5,2801.0,2706.0,9708.3,3041.3,3640.0,10764.0,47792.0
Dec-04,36.0,2876.0,2778.0,9845.9,3126.5,3688.0,11433.0,50543.0
Jan-05,35.4,2913.0,2768.0,10295.1,3114.7,3818.0,11760.0,50525.8
Feb-05,34.5,2596.0,2309.0,9484.1,2526.6,3603.0,10971.0,46015.8
Mar-05,40.8,2917.0,2827.0,10136.1,2607.6,4217.0,12525.0,52923.5
Apr-05,30.5,2802.0,2586.0,8946.6,2296.4,3567.0,12240.0,50413.2
May-05,30.7,2830.0,2733.0,9623.6,2731.4,3523.0,12630.0,52942.6
Jun-05,28.5,2792.0,2658.0,9896.1,2781.9,3568.0,12010.0,50948.9
Jul-05,28.1,2751.0,2692.0,10096.1,3033.7,3551.0,11160.0,49781.1
Aug-05,29.0,2411.0,2599.0,10042.1,3074.4,3804.0,11160.0,52145.2
Sep-05,29.4,2572.0,2620.0,9776.2,3064.2,3737.0,10845.0,48694.5
Oct-05,33.0,2679.0,2786.0,9718.5,3128.6,4050.0,12218.0,52217.7
Nov-05,34.7,2563.0,2671.0,9853.4,3190.3,4022.0,11599.0,49405.3
Dec-05,38.4,2642.0,2751.0,10753.6,3215.1,4142.0,12968.0,52257.1
Jan-06,38.3,2770.0,2781.0,10856.8,3077.6,4201.0,13571.0,53759.6
Feb-06,36.9,2542.0,2523.0,10097.9,2733.9,3897.0,12757.0,50225.4
Mar-06,43.8,2844.0,2802.0,11089.3,2636.1,4504.0,14650.0,54719.9
Apr-06,31.5,2752.0,2697.0,10118.4,2499.0,4053.0,13730.0,53394.9
May-06,33.2,2863.0,2761.0,10784.3,2818.2,4027.0,13490.0,55630.8
Jun-06,31.9,2826.0,2705.0,10939.6,2823.1,4058.0,13410.0,53450.6
Jul-06,30.7,2863.0,2780.0,11370.2,3115.8,4127.0,12720.0,54224.2
Aug-06,29.2,2701.0,1966.0,11256.7,2791.5,4209.0,11480.0,54295.8
Sep-06,29.2,2814.0,2586.0,11081.9,3091.3,4176.0,12630.0,54289.3
Oct-06,33.6,2928.0,2773.0,11473.4,3311.5,4523.0,13370.0,57292.5
Nov-06,36.4,2814.0,2676.0,11467.8,3223.4,4438.0,12970.0,53745.3
Dec-06,39.5,2924.0,2737.0,11912.4,3376.4,4606.0,14010.0,57025.5
Jan-07,42.1,2901.0,2767.0,12070.5,3146.5,4599.0,14550.0,58196.5
Feb-07,39.3,2666.0,2515.0,11240.9,3029.0,4471.0,13500.0,51902.3
Mar-07,48.5,2934.0,2783.0,12576.4,2926.6,5242.0,15450.0,59075.3
Apr-07,31.7,2791.0,2555.0,11641.7,2298.1,4424.0,14520.0,58030.5
May-07,33.4,2818.0,2638.0,12393.2,2637.4,4525.0,14820.0,60821.6
Jun-07,32.2,2774.0,2582.0,12026.8,2831.9,4313.0,14220.0,57078.1
Jul-07,31.0,2888.0,2718.0,11902.1,2990.8,4470.0,13910.0,58301.0
Aug-07,31.5,2876.0,2692.0,12178.4,2911.7,4718.0,13400.0,59278.3
Sep-07,31.0,2795.0,2679.0,11848.2,2863.7,4697.0,13310.0,56641.2
Oct-07,36.6,2924.0,2857.0,11786.8,3011.7,4931.0,14370.0,59702.7
Nov-07,39.2,2822.0,2766.0,12061.2,2969.2,4670.0,13650.0,56845.7
Dec-07,42.8,2882.0,2852.0,12140.2,3066.1,4852.0,14630.0,59236.1
Jan-08,45.4,2895.0,2697.0,12716.8,2862.6,4639.0,15360.0,60331.6
Feb-08,43.9,2728.0,2634.0,11889.1,2639.8,4612.0,15230.0,56978.4
Mar-08,52.9,2925.0,2745.0,12590.3,2161.3,5224.0,16890.0,61223.8
Apr-08,35.0,2818.0,2791.0,12139.3,2225.5,4796.0,15520.0,58815.2
May-08,36.3,2908.0,2887.0,12409.9,2792.5,4948.0,15390.0,62028.5
Jun-08,34.2,2645.0,2632.0,12695.4,2625.4,4664.0,15160.0,58533.7
Jul-08,32.7,2801.0,2772.0,13306.4,2922.0,4771.0,14670.0,60896.7
Aug-08,33.4,2847.0,2806.0,12476.9,3101.5,4886.0,13660.0,59732.7
Sep-08,34.5,2784.0,2726.0,12182.1,2960.3,4803.0,14390.0,59120.2
Oct-08,40.5,2917.0,2831.0,12371.8,2990.5,4780.0,15260.0,62338.1
Nov-08,43.0,2837.0,2750.0,11926.3,3123.8,4380.0,14840.0,58347.5
Dec-08,47.6,2874.0,2795.0,12510.4,2933.6,4473.0,16320.0,60141.5
Jan-09,48.4,2660.0,2586.0,12550.4,2602.0,4773.0,16630.0,61443.6
Feb-09,46.5,2559.0,2442.0,11950.5,2355.7,4752.0,16500.0,57338.7
Mar-09,55.8,2857.0,2827.0,12999.5,2515.3,5139.0,18600.0,65057.4
Apr-09,40.0,2730.0,2931.0,11597.1,2441.4,4592.0,17360.0,62779.9
May-09,40.1,2783.2,3410.6,11874.2,2894.6,4942.0,17200.0,63897.7
Jun-09,39.4,2751.8,3588.4,12207.7,3090.1,5030.0,17080.0,63046.0
Jul-09,36.2,2790.3,3758.9,11396.2,3208.7,5306.0,16700.0,63221.9
Aug-09,37.8,2774.8,3869.1,12856.3,3224.1,4953.0,16050.0,65809.9
Sep-09,36.7,2769.5,3745.4,12596.5,3182.8,4808.0,15330.0,63478.6
Oct-09,43.2,2854.8,4082.4,13265.7,3337.8,4926.0,16070.0,65101.1
Nov-09,45.0,2793.0,4059.9,12500.5,3298.4,4956.0,16180.0,60141.2
Dec-09,48.2,2904.6,4397.2,12628.5,3347.1,5180.0,18110.0,64096.9
Jan-10,51.1,2919.7,4641.0,13024.6,3234.7,5611.0,18690.0,65346.6
Feb-10,49.6,2660.7,4216.3,12039.4,2883.8,4762.0,17800.0,61315.0
Mar-10,60.2,2957.6,4789.3,12862.6,2679.7,5557.0,20060.0,70193.8
Apr-10,38.8,2869.6,4517.1,12216.5,2552.2,5540.0,18880.0,67104.8
May-10,40.2,2944.9,4585.4,12790.5,2888.9,5613.0,18680.0,67998.5
Jun-10,39.7,2938.7,4501.6,12557.2,3184.7,5451.0,17720.0,65414.9
Jul-10,37.8,3232.2,4510.3,12963.0,3350.2,5330.0,16670.0,65874.2
Aug-10,38.2,3196.2,4330.2,12563.1,3334.7,5755.0,16300.0,66849.5
Sep-10,36.1,3115.3,4219.1,11311.3,3163.4,5567.0,16130.0,64794.0
Oct-10,43.5,3246.5,4348.0,12630.1,3301.1,5813.0,19050.0,70614.0
Nov-10,45.3,3268.6,4281.4,12065.1,3351.0,5308.0,15490.0,62272.2
Dec-10,50.0,3362.6,4389.2,13680.3,3358.4,5814.0,17720.0,67321.7
Jan-11,50.4,3236.4,4350.8,14160.5,3288.7,6350.0,19020.0,71654.7
Feb-11,46.8,2986.0,3907.5,12423.0,3043.9,5858.0,18950.0,65708.3
Mar-11,59.6,3314.7,4281.6,13950.7,2813.3,6222.0,21370.0,75536.1
Apr-11,39.8,3185.8,4096.3,13012.1,2618.3,6022.0,18890.0,71425.8
May-11,40.8,3234.3,4143.7,13366.8,3069.0,6239.0,18450.0,75009.3
Jun-11,38.5,3165.7,3975.0,13131.3,3100.3,6098.0,18020.0,70600.7
Jul-11,38.7,3277.4,4141.3,13445.8,3264.7,6296.0,18830.0,74425.2
Aug-11,32.4,3247.6,4101.3,13040.2,3265.7,6256.0,17670.0,73101.2
Sep-11,29.5,3118.4,3949.0,11797.5,3083.9,6140.0,16480.0,70497.5
